,,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_launch_mass,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,avg_power,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count,satellite_count
country_of_operator_owner,,Belarus,Brazil,China,China/Brazil,ESA,France/Italy,France/Italy/Belgium/Spain/Greece,Germany,India,India/France,Indonesia,Israel,Italy,Japan,Kazakhstan,Multinational,Norway,Russia,Singapore,South Korea,Spain,Sweden,Taiwan,Thailand,USA,USA/Canada/Japan,USA/France,USA/Japan,United Arab Emirates,Belarus,Brazil,China,China/Brazil,ESA,France/Italy,France/Italy/Belgium/Spain/Greece,Germany,India,India/France,Indonesia,Israel,Italy,Japan,Kazakhstan,Multinational,Norway,Russia,Singapore,South Korea,Spain,Sweden,Taiwan,Thailand,USA,USA/Canada/Japan,USA/France,USA/Japan,United Arab Emirates,Belarus,Brazil,China,China/Brazil,ESA,France/Italy,France/Italy/Belgium/Spain/Greece,Germany,India,India/France,Indonesia,Israel,Italy,Japan,Kazakhstan,Multinational,Norway,Russia,Singapore,South Korea,Spain,Sweden,Taiwan,Thailand,USA,USA/Canada/Japan,USA/France,USA/Japan,United Arab Emirates
purpose,detailed_purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications,Optical Imaging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Observation,Automatic Identification System (AIS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Observation,Earth Science,0.0,0.0,0.0,0.0,515.5,0.0,0.0,0.0,0.0,407.0,68.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,1913.0,4854.0,553.0,1900.0,0.0,0.0,0.0,0.0,0.0,722.25,0.0,0.0,0.0,0.0,906.0,32.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,2005.3333333333333,2530.0,500.0,4.05,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0
Earth Observation,Earth Science/Meterology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Earth Observation,Electronic Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Observation,Infrared Imaging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Earth Observation,Meteorology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,2200.0,0.0,3507.0,0.0,0.0,70.0,0.0,1116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,2000.0,0.0,2600.0,0.0,0.0,46.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
Earth Observation,Meteorology/Earth Science,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Observation,Optical Imaging,400.0,0.0,166.0,1980.0,0.0,1000.0,4200.0,0.0,1460.0,0.0,0.0,350.0,0.0,45.5,507.5,0.0,0.0,400.0,91.0,980.0,310.0,0.0,0.0,750.0,4500.0,0.0,0.0,0.0,300.0,300.0,0.0,50.0,2300.0,0.0,1500.0,2900.0,0.0,1150.0,0.0,0.0,800.0,0.0,91.0,627.5,0.0,0.0,300.0,175.0,1300.0,450.0,0.0,0.0,840.0,3200.0,0.0,0.0,0.0,360.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Earth Observation,Optical Imaging/Infrared Imaging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Earth Observation,Radar Imaging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,2120.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,531.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,5200.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Earth Observation ,Optical Imaging,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Observation/Technology Development,Optical Imaging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Science/Earth Observation,Automatic Identification System (AIS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
